test,whereX,whereY,datetime,type,typeof,payload
1,9,5,2025-12-17T16:56:20,event,option_displayed,"{""dialog_id"":0}"
1,9,5,2025-12-17T16:56:23,action,option_selected,"{""dialog_id"":0,""narrative_alignment_tag"":""bad"",""option_number"":1}"
1,9,5,2025-12-17T16:56:23,state,heath_changed,"{""old_health_value"":100,""option_number"":1,""who"":""player""}"
1,9,5,2025-12-17T16:56:24,event,option_displayed,"{""dialog_id"":1}"
1,9,5,2025-12-17T16:56:26,action,option_selected,"{""dialog_id"":1,""narrative_alignment_tag"":""good"",""option_number"":2}"
1,9,5,2025-12-17T16:56:26,state,heath_changed,"{""old_health_value"":72,""option_number"":2,""who"":""player""}"
1,9,5,2025-12-17T16:56:26,state,heath_changed,"{""old_health_value"":30,""option_number"":2,""who"":""enemy""}"
1,9,5,2025-12-17T16:56:27,event,option_displayed,"{""dialog_id"":2}"
1,9,5,2025-12-17T16:56:31,action,option_selected,"{""dialog_id"":2,""narrative_alignment_tag"":""good"",""option_number"":0}"
1,9,5,2025-12-17T16:56:31,state,heath_changed,"{""old_health_value"":62,""option_number"":0,""who"":""player""}"
1,9,5,2025-12-17T16:56:31,state,heath_changed,"{""old_health_value"":20,""option_number"":0,""who"":""enemy""}"
