test,whereX,whereY,datetime,type,typeof,payload
2,2,5,2025-12-17T17:24:11,event,location_entered,"{""room_ID"":0}"
2,13,5,2025-12-17T17:24:51,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
2,2,5,2025-12-17T17:24:51,event,location_entered,"{""room_ID"":1}"
2,11,5,2025-12-17T17:25:07,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
2,18,5,2025-12-17T17:25:15,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
2,2,6,2025-12-17T17:25:15,event,location_entered,"{""room_ID"":2}"
2,3,9,2025-12-17T17:25:21,action,object_touched,"{""is_key_item"":true,""object_ID"":""Espelho""}"
2,4,9,2025-12-17T17:25:59,action,object_touched,"{""is_key_item"":true,""object_ID"":""Almofada""}"
2,9,5,2025-12-17T17:26:06,action,object_touched,"{""is_key_item"":true,""object_ID"":""Livro""}"
2,12,3,2025-12-17T17:26:15,action,object_touched,"{""is_key_item"":true,""object_ID"":""Relógio""}"
2,11,8,2025-12-17T17:26:22,action,object_touched,"{""is_key_item"":true,""object_ID"":""Abajur""}"
2,4,4,2025-12-17T17:26:31,action,object_touched,"{""is_key_item"":true,""object_ID"":""Cadeira""}"
2,7,1,2025-12-17T17:26:36,action,object_touched,"{""is_key_item"":true,""object_ID"":""Quadro""}"
2,1,2,2025-12-17T17:26:41,action,object_touched,"{""is_key_item"":true,""object_ID"":""Casaco""}"
