test,whereX,whereY,datetime,type,typeof,payload
2,1,9,2026-01-12T16:42:43,event,option_displayed,"{""dialog_id"":0}"
2,1,9,2026-01-12T16:43:19,action,option_selected,"{""dialog_id"":0,""narrative_alignment_tag"":""good"",""option_number"":2}"
2,1,9,2026-01-12T16:43:19,state,heath_changed,"{""old_health_value"":100,""option_number"":2,""who"":""player""}"
2,1,9,2026-01-12T16:43:19,state,heath_changed,"{""old_health_value"":30,""option_number"":2,""who"":""enemy""}"
2,1,9,2026-01-12T16:43:20,event,option_displayed,"{""dialog_id"":1}"
2,1,9,2026-01-12T16:43:29,action,option_selected,"{""dialog_id"":1,""narrative_alignment_tag"":""good"",""option_number"":0}"
2,1,9,2026-01-12T16:43:29,state,heath_changed,"{""old_health_value"":85,""option_number"":0,""who"":""player""}"
2,1,9,2026-01-12T16:43:29,state,heath_changed,"{""old_health_value"":21,""option_number"":0,""who"":""enemy""}"
2,1,9,2026-01-12T16:43:30,event,option_displayed,"{""dialog_id"":2}"
2,1,9,2026-01-12T16:43:41,action,option_selected,"{""dialog_id"":2,""narrative_alignment_tag"":""good"",""option_number"":0}"
2,1,9,2026-01-12T16:43:41,state,heath_changed,"{""old_health_value"":65,""option_number"":0,""who"":""player""}"
2,1,9,2026-01-12T16:43:41,state,heath_changed,"{""old_health_value"":6,""option_number"":0,""who"":""enemy""}"
