test,whereX,whereY,datetime,type,typeof,payload
6,2,5,2026-01-14T22:38:08,event,location_entered,"{""room_ID"":0}"
6,13,4,2026-01-14T22:38:14,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(14.0, 5.0)""}"
6,2,5,2026-01-14T22:38:14,event,location_entered,"{""room_ID"":1}"
6,9,5,2026-01-14T22:38:16,action,object_touched,"{""is_key_item"":false,""object_ID"":""Guard""}"
6,18,5,2026-01-14T22:38:18,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(19.0, 5.0)""}"
6,2,6,2026-01-14T22:38:18,event,location_entered,"{""room_ID"":2}"
6,3,2,2026-01-14T22:38:19,action,object_touched,"{""is_key_item"":true,""object_ID"":""Cadeira""}"
6,1,0,2026-01-14T22:38:20,action,object_touched,"{""is_key_item"":true,""object_ID"":""Casaco""}"
6,6,1,2026-01-14T22:38:22,action,object_touched,"{""is_key_item"":true,""object_ID"":""Quadro""}"
6,12,3,2026-01-14T22:38:24,action,object_touched,"{""is_key_item"":true,""object_ID"":""Relógio""}"
6,11,8,2026-01-14T22:38:25,action,object_touched,"{""is_key_item"":true,""object_ID"":""Abajur""}"
6,9,6,2026-01-14T22:38:25,action,object_touched,"{""is_key_item"":true,""object_ID"":""Livro""}"
6,4,9,2026-01-14T22:38:26,action,object_touched,"{""is_key_item"":true,""object_ID"":""Almofada""}"
6,2,9,2026-01-14T22:38:27,action,object_touched,"{""is_key_item"":true,""object_ID"":""Espelho""}"
6,0,6,2026-01-14T22:38:38,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 6.0)""}"
6,2,5,2026-01-14T22:38:38,event,location_entered,"{""room_ID"":1}"
6,0,4,2026-01-14T22:38:38,action,object_touched,"{""is_key_item"":true,""object_ID"":""door_(0.0, 5.0)""}"
6,2,5,2026-01-14T22:38:38,event,location_entered,"{""room_ID"":0}"
